FileName;River;Position;Time;Replicate;36G;37G;42G;59G;61G;62G;63G;64G;65G;71G;74G;75G;76G;78G;79G;86G;87G;89G;89G;90G;91G;100G;102G;103G;104G;106G;116G;123G;124G;125G;128G;129G;141G;142G;145G;146G;147G;148G;153G;154G;155G;157G;158G;158G;159G;160G;161G;163G;164G;165G;166G;167G;172G;173G;175G;176G;177G;178G;180G;181G;188G;190G;191G;199G;203G;206G;207G;208G;222G;225G;232G;264G;271G;282G;286G;291G;297G;308G;322G;424G;426G;428G;464G;477G;477G;479G;480G;487G;488G;494G
GRGav-T14-L2;GRG;av;T14;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.59;0;92.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T14-L3;GRG;av;T14;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.16;0;81.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T21-L1;GRG;av;T21;L1;0;0;0;0;0;5.11;0;0;0;0;0;0;0;1.08;0;0;0;0;0;4.9;0;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.04;0;0;0;19.51;0;66.52;0;0;0;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T21-L2;GRG;av;T21;L2;0;0;0;0;0;5.26;0;0;0;0;0;0;0;1.03;0;0;0;0;0;4.39;0;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;20.45;0;66.06;0;0;0;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T21-L3;GRG;av;T21;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.18;0;0;0;8.22;0;82.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAam-T07-L1;RCA;am;T07;L1;1.3;0;0;0;0;1.22;0;0;0;0;0;0;0;0;0;0.93;0;0;12.58;2.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.46;0;0;0;0;6.59;0;2.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAam-T07-L2;RCA;am;T07;L2;0;0;0;0;0;5.63;0;0;0;0;0;0;0;0;0;1.18;0;13.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.14;0;0;0;0;5.44;0;1.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAam-T07-L3;RCA;am;T07;L3;0.77;0;0;0;0;0.75;0;0;0;0;0;0;0;0;0;0.6;0;12.19;0;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.91;0;0;0;0;5.79;0;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAam-T14-L1;RCA;am;T14;L1;1.21;0;0;0;0;2.85;0;0;0;0;0;0;0;0;0;0;0;14.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.54;0;0;0;0;9.47;0;7.35;0;0;0;0;0;0;0;0;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0;0;0;0;0;0
RCAam-T14-L2;RCA;am;T14;L2;0.7;0;0.43;0;0;0.87;0;0;0;0;0;0;0;0;0;0.78;0;12.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51;0;0;0;0;0;76.2;0;0;0;0;4.95;0;1.97;0;0;0;0;0;0;0;0;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
